recno,Name,RAJ2000,DEJ2000,LengthMpc,e_LengthMpc,LengthAng,z,e_z,Ref,FistDisc
3239,ILTJ134800.45+341006.8,207.0013063,34.16840754299,1.06348,0.12469,2.103,1.122,0.122,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4336,ILTJ135501.57+350052.8,208.7570117,35.01522636082,0.70005,0.08354,1.3861,1.114,0.136,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7100,ILTJ130616.92+253629.8,196.5707308,25.60812597522,0.795,0.09439,1.5702,1.13,0.141,ML (this work),ML (this work)
1985,ILTJ130726.32+253852.9,196.85598300851,25.6463952589,0.72336,0.10561,1.6023,0.743,0.094,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7597,ILTJ131201.66+254704.6,198.0079837,25.7881772843,0.95003,0.10743,1.9406,0.964,0.049,ML (this work),ML (this work)
530,ILTJ130542.96+260205.6,196.4300996,26.03431596008,0.71678,0.07667,1.3832,1.356,0.295,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8383,ILTJ130314.17+254551.6,195.808158,25.7651350093,0.7721,0.00455,1.5815,2.682,0.89,ML (this work),ML (this work)
8396,ILTJ130546.03+261354.1,196.442077,26.23227555803,1.43998,0.12394,2.7607,1.563,0.438,ML (this work),ML (this work)
5379,ILTJ131430.00+265510.6,198.6273955,26.91838985253,0.7802,0.09083,1.5782,1.004,0.072,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8822,ILTJ131131.25+264359.7,197.881027,26.7311651402,1.29799,0.19869,2.7012,0.899,0.199,ML (this work),ML (this work)
7031,ILTJ131814.86+271036.4,199.5590723,27.17541320599,1.29304,0.16811,3.0779,0.623,0.04,ML (this work),ML (this work)
2596,ILTJ131737.32+271400.9,199.402402,27.23810479257,1.87695,0.22891,3.9136,0.893,0.068,RGZ (Hardcastle et al. 2023),Oei et al. 2023
5976,ILTJ131625.23+272049.6,199.10420630426,27.34517923888,1.19028,0.11906,2.7117,0.69092,4e-05,RGZ (Hardcastle et al. 2023),Mahato et al. 2021
1388,ILTJ131342.59+270900.9,198.4287727,27.14714482883,0.87526,0.10586,1.7897,0.96,0.081,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3575,ILTJ131606.34+271917.4,199.027982,27.32440575571,1.48747,0.14899,6.1508,0.24972,5e-05,RGZ (Hardcastle et al. 2023),Oei et al. 2023
2496,ILTJ131444.23+273740.4,198.682604,27.62815057235,1.82623,0.18296,5.3534,0.41793,0.00012,RGZ (Hardcastle et al. 2023),Dabhade et al. 2020
278,ILTJ131104.39+272807.6,197.769442,27.46867342896,1.35767,0.13586,5.7828,0.23992,2e-05,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1195,ILTJ130859.16+273559.6,197.24648,27.60071363548,0.7356,0.12016,2.1501,0.42,0.043,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
2475,ILTJ131048.26+274647.1,197.701138,27.77921833733,0.92939,0.15634,2.1428,0.671,0.115,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
797,ILTJ131246.66+275210.4,198.195209,27.87216688377,0.87647,0.22651,2.0374,0.658,0.327,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4926,ILTJ130136.99+265437.6,195.410274,26.90917298083,0.83276,0.04424,1.6018,1.791,0.676,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4331,ILTJ125807.98+273110.1,194.518337,27.51279442315,2.93727,0.56859,7.0018,0.621,0.139,RGZ (Hardcastle et al. 2023),Oei et al. 2023
3627,ILTJ125930.17+274617.2,194.876157,27.76843635488,0.72418,0.08426,1.5463,0.826,0.04,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4525,ILTJ125859.42+274645.9,194.74713873017,27.7792169868,0.94774,0.16353,2.0292,0.819,0.217,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
5134,ILTJ130106.21+281815.5,195.2765021,28.30339509702,1.03254,0.10337,3.2423,0.3734,6e-05,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1360,ILTJ130442.92+275719.4,196.175364,27.95397334622,1.71295,0.24946,3.9137,0.686,0.077,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9577,,196.319932,29.128449,1.891,0.064,4.4,0.65651,0.00025,Oei et al. 2023,Oei et al. 2023
3662,ILTJ130933.78+291838.4,197.3878518,29.31385571744,0.8423,0.09933,1.7136,0.98,0.073,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8524,ILTJ131952.14+274302.3,199.9672715,27.71718759948,0.87876,0.14134,2.2302,0.544,0.065,ML (this work),ML (this work)
7346,ILTJ131851.18+275926.5,199.7116083,27.99803134604,1.52218,0.18273,3.0204,1.101,0.134,ML (this work),ML (this work)
2608,ILTJ132109.52+281820.2,200.289318,28.30721926809,0.91098,0.10657,1.8337,1.026,0.081,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9424,,200.133749,28.643791,2.293,0.026,13.4,0.16014,3e-05,Oei et al. 2023,Oei et al. 2023
