RA,DEC
18.178728,27.024237
342.942705,27.047336
17.837624,26.088133
352.071103,26.868422
19.578896,27.367244
345.510211,27.048599
342.425169,27.611597
358.859506,25.045168
358.798467,25.695719
359.278338,25.537703
343.819361,27.624546
345.386112,28.3912
357.564254,26.931221
352.492932,24.794272
359.158922,26.569285
357.036479,24.812381
353.329518,25.12838
356.144673,24.716468
352.989632,24.642708
343.311971,27.247668
352.55028,26.817104
341.50737,26.440411
341.266912,27.714866
342.075933,27.764915
343.002826,27.700569
340.993748,26.393836
358.743905,25.476958
340.604454,28.040889
344.808336,28.920041
356.631082,25.332708
346.426297,28.36609
358.704692,26.849418
341.051207,28.36568
355.766968,26.724786
346.29174,29.272489
346.420024,27.858576
341.834256,24.687553
340.237587,25.118925
342.754871,28.681669
341.658364,26.431465
18.668721,26.669225
20.229804,26.269329
356.022635,26.611265
344.927774,27.464862
341.462245,24.641918
355.838972,26.703113
354.776787,26.049322
359.066234,24.831461
346.24618,29.35004
358.921687,25.611156
341.802566,27.06424
345.71985,28.387821
341.458891,26.567396
355.441937,26.020382
352.877401,24.607503
342.942705,27.047336
344.589601,28.043352
341.823939,27.990143
342.804118,28.807232
19.40871,26.992354
19.699141,25.880834
357.880058,26.82851
342.081117,26.422987
356.833789,25.474006
20.339057,26.81717
352.843399,25.538712
20.502455,25.307492
353.09253,25.323245
357.111256,26.135233
18.249567,27.115038
19.117599,26.880939
357.753517,25.844028
18.826399,24.933909
353.148604,26.961555
341.27146,27.920926
343.06097,29.207793
354.835533,24.955479
358.347062,26.697534
356.061407,24.421027
355.026055,27.150014
355.133598,26.09658
343.831663,29.5576
358.673713,25.327778
18.940725,25.47639
341.455371,25.106127
352.059427,25.382884
18.438967,25.074505
358.400434,26.131704
19.081916,24.795338
357.948737,27.192463
341.462245,24.641918
359.344566,26.942835
341.865352,25.937178
356.236616,26.88697
352.773298,25.372784
345.991153,27.075415
340.885606,24.799738
19.073112,27.387858
342.542136,27.237463
341.19606,25.272876
343.449905,28.857107
356.353839,25.018742
17.696663,25.957421
18.324426,26.799342
18.948903,26.333253
352.419702,26.517867
341.668934,26.174156
353.960443,25.006104
354.064525,25.326978
