radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
ILTJ001204.78+173205.0,,3.021275,17.531094,0.84,0.443,0.942,0.271,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001208.33+271059.6,,3.034793,27.180402,0.683,0.046,0.71,0.048,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001209.85+090249.3,3.041042,9.047028,0.793,6e-05,0.859,0.046,Mahato et al. 2021,2021-11-22,Mahato et al. 2021
ILTJ001220.51+181940.3,,3.085867,18.329237,0.91975,0.07909,0.878,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001224.75+193340.6,,3.109234,19.579792,0.931,0.106,1.116,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001234.50+282843.9,,3.122743,28.466486,1.363,0.15,1.874,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001238.03+270242.8,,3.159018,27.044133,1.6,0.01,0.74,0.053,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001317.67+204741.8,,3.323552,20.794527,0.386,0.043,1.139,0.085,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001335.98+320426.4,,3.397314,32.073908,1.326,0.316,0.909,0.065,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001336.37+263003.0,,3.403211,26.498945,0.883,0.124,0.821,0.06,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001350.25+324530.8,,3.458466,32.760313,0.723,0.256,0.76,0.139,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001409.54+232927.3,,3.53626,23.48867,0.53699,2e-05,0.928,0.039,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001422.53+264704.5,,3.602071,26.787518,0.67607,0.00016,1.127,0.044,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,3.6338,-45.7011,0.296,,1.146,0.137,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
