field_name,ra,dec,ra_min,ra_max,dec_min,dec_max,ra_size,dec_size
P000+36,0.142592,35.9462,-1.6890746666666374,1.9742586666666375,34.114533333333334,37.77786666666666,3.663333333333275,3.6633333333333273
P029+19,29.4759,18.6295,27.59590000000003,31.35589999999997,16.749500000000005,20.509499999999996,3.7599999999999403,3.759999999999994
P030+31,30.4389,31.1879,28.741816666666693,32.13598333333331,29.490816666666667,32.88498333333333,3.3941666666666124,3.3941666666666612
P001+33,1.17843,33.4453,-0.5986533333333048,2.955513333333305,31.668216666666673,35.22238333333333,3.55416666666661,3.554166666666661
P021+19,21.2825,18.5595,19.357916666666696,23.2070833333333,16.63491666666667,20.48408333333333,3.8491666666666053,3.8491666666666604
P347+26,347.409,25.7955,345.5169166666667,349.3010833333333,23.903416666666672,27.68758333333333,3.7841666666666063,3.7841666666666605
P345+31,345.145,30.7959,343.14875,347.14124999999996,28.799650000000003,32.79215,3.992499999999936,3.9924999999999935
P036+31,36.4926,31.239,34.7505166666667,38.23468333333331,29.49691666666667,32.98108333333333,3.4841666666666113,3.484166666666661
P032+41,32.0144,41.2409,30.31023333333336,33.71856666666664,39.53673333333334,42.94506666666667,3.408333333333279,3.408333333333328
P025+24,25.4349,23.6153,23.554483333333362,27.315316666666636,21.734883333333336,25.495716666666667,3.7608333333332733,3.760833333333327
P035+34,35.3638,33.7394,33.29213333333337,37.43546666666663,31.66773333333334,35.81106666666667,4.143333333333267,4.143333333333326
P331+23,331.851,23.1515,329.81100000000004,333.89099999999996,21.111500000000003,25.191499999999994,4.079999999999935,4.079999999999993
P024+31,24.3885,31.1364,22.688916666666696,26.088083333333305,29.43681666666667,32.83598333333333,3.3991666666666123,3.399166666666661
P022+24,22.6099,23.5911,20.74865000000003,24.47114999999997,21.729850000000003,25.45235,3.7224999999999406,3.722499999999994
P035+36,35.3856,36.2495,33.346433333333366,37.42476666666663,34.21033333333333,38.288666666666664,4.078333333333268,4.078333333333327
P030+26,30.6048,26.1693,28.70480000000003,32.50479999999997,24.2693,28.0693,3.7999999999999394,3.7999999999999936
P000+23,0.03125,23.3953,-1.8308333333333036,1.8933333333333036,21.533216666666668,25.25738333333333,3.724166666666607,3.7241666666666604
P337+21,337.346,20.6884,335.2001666666667,339.4918333333333,18.542566666666673,22.83423333333333,4.291666666666599,4.29166666666666
P359+28,359.699,28.4125,357.80150000000003,361.5965,26.515000000000004,30.31,3.7949999999999395,3.7949999999999937
P337+18,337.643,18.181,335.573,339.71299999999997,16.111000000000004,20.250999999999998,4.139999999999934,4.1399999999999935
P038+36,38.5993,36.2763,36.59263333333337,40.60596666666663,34.26963333333334,38.28296666666666,4.01333333333327,4.0133333333333265
P033+31,33.4653,31.2135,31.745716666666695,35.1848833333333,29.49391666666667,32.93308333333333,3.439166666666612,3.439166666666661
P032+19,32.2078,18.6526,30.34280000000003,34.07279999999997,16.7876,20.517599999999998,3.7299999999999405,3.7299999999999938
P351+23,351.57,23.3216,349.65583333333336,353.4841666666666,21.407433333333337,25.235766666666663,3.8283333333332723,3.828333333333327
P031+24,31.0863,23.6633,29.16630000000003,33.00629999999997,21.7433,25.583299999999998,3.8399999999999386,3.8399999999999936
P027+26,27.7208,26.1448,25.840383333333364,29.601216666666637,24.264383333333335,28.025216666666665,3.7608333333332733,3.760833333333327
P330+26,330.169,25.6473,328.14233333333334,332.1956666666666,23.620633333333338,27.673966666666665,4.053333333333269,4.053333333333327
P013+26,13.3101,26.0209,11.522600000000029,15.097599999999971,24.233400000000003,27.8084,3.574999999999943,3.5749999999999944
P344+26,344.535,25.7705,342.62125000000003,346.44875,23.85675,27.684249999999995,3.827499999999939,3.827499999999994
P022+36,22.5542,36.1406,20.6058666666667,24.502533333333304,34.19226666666667,38.08893333333333,3.8966666666666048,3.8966666666666603
P008+23,8.49315,23.469,6.679816666666696,10.306483333333304,21.655666666666672,25.28233333333333,3.6266666666666088,3.6266666666666607
P340+23,340.299,23.224,338.314,342.28399999999993,21.239000000000004,25.208999999999996,3.9699999999999367,3.9699999999999935
P013+21,13.3539,21.0011,11.396816666666698,15.3109833333333,19.04401666666667,22.95818333333333,3.9141666666666044,3.9141666666666604
P016+34,16.7027,33.5802,14.784783333333364,18.620616666666635,31.662283333333335,35.49811666666666,3.835833333333272,3.835833333333327
